Restaurant,Customer,Date,Rating,Review
Al Dahan,Hassan A***,01 January 2024,OK,الاكل اتاخر اوى و الحمد لله ميتكلش اصلا
Al Dahan,سالم ا***,30 December 2023,Very good,طلبت من الدهان أونلاين، الكمية قليلة جدًا مقابل الفلوس حسيت بزعل وإحراج مع ضيوفي
Al Dahan,Ali M***,30 December 2023,Good,الأكل كان برد
Al Dahan,Lubna H***,28 December 2023,Very good,كل حاجة تحفة بس السلطة كانت بايظة
Al Dahan,حسين ا***,25 December 2023,OK,تاخري الطلب لاكثر من ساعتين
Al Dahan,HassanKhourshed H***,25 December 2023,Very good,الاكل محتاج يتحفظ كويس عشان ميبردش
Al Dahan,احمد ف***,22 December 2023,Good,الاكل سيئ جدا والكفته مليانه عظم والاكل وصلني بارد نصيحه عدم تجربة المطعم
Al Dahan,Ahmed H***,22 December 2023,OK,المستوى بقي سئ جدا ولازم كل مرة الاوردر يوصل غلط...مفيش مرة وصل صح....منكم لله...اتقوا الله في شغلكم
Al Dahan,Aya A***,22 December 2023,OK,اسوء مطعم واسوء تعامل واسوء توصيل و منتهي السوء حتي لم تهتموا بالشكوي والاوردر جاي واقع كله طين الاوردر واقع كله والكيس كله طين والسائق رفض ياخد الاوردر لاني دافعه اونلاين
Al Dahan,Noha G***,18 December 2023,Good,الاكل جه بارد جدا و الفته طعمها كان سيئ جدا
Al Dahan,Tarek Z***,17 December 2023,Amazing,المشويات البتلو رائعه
Al Dahan,Mahmoud A***,16 December 2023,Good,اكل بارد فراخ نية ملوخية طعمها سيء
Al Dahan,Ibrahim m***,11 December 2023,Good,الأوردر كان سئ جدا دي مكنتش كفته بجد
Al Dahan,Samah G***,11 December 2023,OK,الاورد جاء بعد 4 ساعات ونص
Al Dahan,Shahla K***,07 December 2023,OK,الشوربة وصلت ساقعة واللحمة وصلت ساقعة وطعمها وحش وزفرة جدا
Al Dahan,Mohamed A***,07 December 2023,OK,الطعام سئ جدا جدا جدا وبارد جدا واصابتنى تقلصات والام متعدده فى بطنى
Al Dahan,Rana E***,05 December 2023,OK,زمن التوصيل وجودة الطعام وعدم إحضار أحد الطلبات مع اني حاسبت عليها
Al Dahan,Hadir E***,03 December 2023,Good,طاجن الرز المعمر مش مستوي الرز فيه، بيقرمش ، مع الاسف كان حلو المره اللي فاتت وطلبته تاني لكن سيء
Al Dahan,Rose n***,02 December 2023,OK,عيب نبقا دافعين فلوسنا وتبعتولناحمام بايت
Al Dahan,Mohamed E***,02 December 2023,Good,الاكل سيء جدا والخبز جاي بارد وقديم ممكن صار له ٣ ايام المذاق سيء جدا والفراخ اغلبها نية
Al Dahan,Fatma Ezzahra M***,23 November 2023,Amazing,احلى كبدة اسكندراني واحلى رز واحلى شيف تسلم الايادي
Al Dahan,Yehia H***,15 November 2023,Good,الفراخ كان بها دم . غير مستوية
Al Dahan,ناديه م***,12 November 2023,OK,الطلب اتلغي
Al Dahan,fady n***,02 November 2023,OK,الاكل بارد و بايت، التوصيل اخد ساعة، الديلفرى ساب ،الاكل مع حد من غير ما يتصل بيا ، طعم الفرخة سى
Al Dahan,lamees m***,30 October 2023,Good,الاوردر عبارة عن ملح كل الاوردر حادق جدا
Al Dahan,Manno M Sakr ***,28 October 2023,Amazing,الاكل تحفة بكل المقاييس و راجل التوصيلوقمة قمة ف الاحترام.. شكرا طلبات
Al Dahan,youssief r***,20 October 2023,Very good,الاكل كان بارد شويه و ارز الحشو كان ممكن يكون افضل ،حلو البسبوسه قليله فيه جدا قصاد الكريمه عليه
Al Dahan,Mohamed a***,11 October 2023,Very good,الفراخ كانت غير كامله التسويه كان يوجد بها بعض القطع لونها احمر
Al Dahan,lamees m***,11 October 2023,Good,طلبت كوسه بالبشاميل بفتحها لقيتها مكرونة
Coffee Lab,Alaa K***,02 February 2024,OK,نص الكوب ناقص و مفيش اي طعم شكولاته اسوء حاجه ممكن اي حد يشربها و ارغب في إرجاع المنتج
Vena Cuisine,Tamara Z***,02 December 2023,Good,كمية الخضار قليلة نسبة للحم والأرز
Vena Cuisine,صقر ب***,05 December 2021,OK,مطبللش منو تاني
Vena Cuisine,Adel A***,28 August 2021,Amazing,الاكل رائع الجوده ممتازه والكميه مناسبه للسعر
Vena Cuisine,Adel A***,26 August 2021,Amazing,اكل رائع
Vena Cuisine,Omayma O***,26 August 2021,OK,الاكل كان غير مستوي
