Chili'sORDER ONLINE,Adel Farahat,a year ago,1,Order missing
Chili'sORDER ONLINE,Medhat,a year ago,1,the salad had exactly 4 shrimps and I ordered grilled chicken sandwich they sent me fried
Chili'sORDER ONLINE,Abdel,a year ago,1,Where was my fries ? Lol
Chili'sORDER ONLINE,Hosein Elkhodairy,a year ago,1,المطعم مغلق و الأوردر اتلغي بعد ماطلبت..ماتحاولش تطلب
Chili'sORDER ONLINE,Michael Mansour,a year ago,1,جالي منه تسمم بعد نصف ساعة من الاكل ، الاكل اصلا وصل بارد جذا بعد ساعة و نصف من عمل الاوردر ، و لما وصل العيش شكله متقطع و بايت و البرجر كان واخد ربع السندويتش من الداخل زي ميكون متاكل قبل كده و الطعم بشع ، و سندويتش الفراخ كانت ناشفة جدا زي متكون مت...
Chili'sORDER ONLINE,ayatullah tamer,a year ago,5,Driver was respectful 👍🏻
Chili'sORDER ONLINE,Amr Moharram,a year ago,1,Too cold and the bread not fresh
Chili'sORDER ONLINE,Omar Walid,a year ago,1,They didn’t get buffalo chicken sandwich they got another chicken sandwich which i didn’t order
Chili'sORDER ONLINE,shahd,a year ago,2,"Ordered the salad with no onions so instead it came with the onions, corns, beans and tomatoes mixed together in a separate bowl and the salad bowl filled with tons of lettuce. So the salad tasted bland and not worth the money"
Chili'sORDER ONLINE,Shérry Adel,a year ago,1,لقيت حشرة صغيرة في السلطة جوة ورقة الخس وطبعاً اترمت..ناهيك عن اللحم اللي بيشد و ما يتاكلش في الفاهيتا،غير أن الوجبة اللي طلبتها المفروض كان فيها أرز لكنه ما جاش أصلاً !! الحقيقة تجربة بشعة جدا و لن تتكرر... خسارة بصراحة ندفع ٥٠٠ جنيه في أوردر زي ده
Chili'sORDER ONLINE,Ahmed,a year ago,5,None
Chili'sORDER ONLINE,Seif Talaat Zein,a year ago,3,Order was missing honey mustard sauce although i paid for it and they added 7up
Chili'sORDER ONLINE,Yasser Bahaa,a year ago,2,it was delivered spicy ?? why ??
Chili'sORDER ONLINE,Amany ElShennawy,a year ago,4,"Dressing was very little for the salad, you should send double quantity of dressing"
Chili'sORDER ONLINE,Habiba Yasser,a year ago,1,Missing item
Chili'sORDER ONLINE,Dina,a year ago,1,Crispers hardly had any buffalo sauce on them Fries were raw and oily Fajitas were very dry and onions were raw
Chili'sORDER ONLINE,Chadène El Tarouty,a year ago,1,ORDER NEVER ARRIVED AND I WAS TOLD IT WOULD BE CANCELED AND THE MONEY WILL BE BACK IN MY CREDIT CARD !!! WHAT IS THIS THEFT??? I NEVER RECEIVED ANYTHING !! I want my money back
Chili'sORDER ONLINE,Dina Saad El Din,a year ago,1,Horrible quality
Chili'sORDER ONLINE,Mira,a year ago,5,الاكل راءع ما شوفت مثله فى اى مطعم بالذوق والطعم الحلو ده كساديا بالفراخ والبيكون رهيب ميرسى اوى بتقدمكن واسعادنا بوجبات راءعة لها اثر وذوق رفيع مش موجود فى اى مطعم اخر 👏🏻👏🏻👏🏻
Chili'sORDER ONLINE,Catherine Abdelchahid,a year ago,1,Received the order missing dressing and cheese … requested Elmenus’ support and the issue was not resolved
Chili'sORDER ONLINE,Miriam Saleh,a year ago,4,المفروض يوصل مع الطلب ملاعق وشوك وسكين للستيك لكن لم تتواجد مع الطلب
Chili'sORDER ONLINE,Hebba Haroun,a year ago,2,I have been ordering the southwestern rolls for many years. This is the first time it does not taste fresh. Also the dressing that should come with it is ranch. It was definitely not ranch. The nachos were below average in taste and same with the que...
Chili'sORDER ONLINE,Sally Samir,a year ago,1,I didn’t receive the extra dressing and The quesadillas were on the salad not in a separate box … although i was clear in my comments
Chili'sORDER ONLINE,Mirna Kauzman,a year ago,1,"Food took an hour and half to reach , and was very cold"
Chili'sORDER ONLINE,Ahmed Hisham,a year ago,5,"Package was tilted during delivery, so all the food was accumilated in one side over each other"
Chili'sORDER ONLINE,Talia Ahmed Khalil,a year ago,1,الاكل سئ و مش ده طلبى دفعت ١٧٠ في الارض
Chili'sORDER ONLINE,omar sherif,a year ago,1,Bad quality not as same old chili’s
Chili'sORDER ONLINE,asoliman,2 years ago,1,If there a 0 i would have give the order a 0. Delivery is terrible food was cold and soggy. I received the order 2.5 hours later
Chili'sORDER ONLINE,asoliman,2 years ago,1,Delivery was awful - took almost 2.5 hours to arrive — and arrived with cold fries- soggy bread for burgers.
Chili'sORDER ONLINE,Nashwa Sherif,2 years ago,5,I thank the Chilis staff for their good service and dedication led by Masood Magdy Zamalek branch. You've shown that with every order by being punctual and fixing any issues.
Chili'sORDER ONLINE,Malak Zaki,3 years ago,1,"Worst experience ever. Dish washer was not working so we were served in plastic plates and cups but accepted to eat there anyways, only to end up being served super cold food. Such a shame because we were looking forward to coming back to Chili’s."
Chili'sORDER ONLINE,Mirna Othman,3 years ago,5,Bbq chicken salad and honey chicken crispers were so nice …
Chili'sORDER ONLINE,wagdy,3 years ago,1,Very bad customer service hotline very rude
Chili'sORDER ONLINE,Zero Kelvin,4 years ago,1,"To be brief, the food is very flavourless. The burgers are so dry its unbelievable. The fries that come with the burgers are even worse as they taste like garbage."
Chili'sORDER ONLINE,Miriam Abdel Wahid,4 years ago,1,"THE FOOD WAS ABSOLUTELY HORRIBLE. It came 2 hours late, cold, and literally inedible. The classic nachos seemed to have been re-microwaved as they were very stale. The wings were burnt and quesadillas were really bad. Their quality has deteriorated c..."
Chili'sORDER ONLINE,AHMED DOGISH,4 years ago,1,"Overall terrible experience, never again."
Chili'sORDER ONLINE,Esraa Selim,4 years ago,1,زفت ومقرف وحتي التغليف زبالة وطعم يقرف فلوس ع الفاضي
Chili'sORDER ONLINE,Zeinab Abdel Meguid,4 years ago,1,"Food was soooo gross! The tortilla bread wasn’t a tortilla bread put rough dough, i threw it all up. The Triple dipper was so awful!"
Chili'sORDER ONLINE,Retaj Mohamed,4 years ago,1,"This is definitely not a quesadilla, it tastes awful. The sandwich contains nothing except a burnt few pieces of chicken and cold cheese. This is not a quesadilla bread, also burnt. The sandwich should include bacon and ranch which weren’t there at a..."
Chili'sORDER ONLINE,Ehab Mostafa,4 years ago,1,"very expensive, little quantity , food quality not good ,Madinaty branch"
Chili'sORDER ONLINE,Ehab Mostafa,4 years ago,1,"very expensive, little quantity , food quality not good ,Madinaty branch"
Chili'sORDER ONLINE,Mr.W,4 years ago,5,طلبنا شوراسكو (طبق لحم) وطلبنا مونتيري شيكن (طبق دجاج) والاتنين كانو احلى من بعض. العصاير غالية شوية لكن معقولة. جربنا الفراولة وبيناكولادا. الخدمة كانت ممتازة. اكيد هنحاول نروح تاني.
